ген,орган,здоровая,пациент,органоид,2D,группа
FAS,панкреас,-23.002628326416016,-11.880775451660156,4.310390472412109,-0.7884712219238281,ENTRY receptors
TNFRSF10A,панкреас,-17.594837188720703,1.9033432006835938,-2.1021385192871094,-0.3492393493652344,ENTRY receptors
TNFRSF10B,панкреас,3.5743026733398438,-3.5810203552246094,0.55743408203125,0.10343170166015625,ENTRY receptors
TNFRSF1A,панкреас,-8.747047424316406,0.7562332153320312,-1.6105232238769531,0.06581497192382812,ENTRY receptors
BCL2,панкреас,57.14458465576172,1.10546875,-1.2089004516601562,-0.15984344482421875,BRAKES
BCL2L1,панкреас,4.1142730712890625,-1.1793441772460938,2.4433135986328125,-0.02417755126953125,BRAKES
BIRC2,панкреас,11.246780395507812,6.158664703369141,-2.9241867065429688,0.01477813720703125,BRAKES
BIRC3,панкреас,20.888404846191406,17.682140350341797,3.8913040161132812,0.2807350158691406,BRAKES
CFLAR,панкреас,18.258377075195312,10.640987396240234,2.433917999267578,0.02820587158203125,BRAKES
MCL1,панкреас,10.053993225097656,3.536693572998047,2.0336341857910156,-0.10477066040039062,BRAKES
TNFAIP3,панкреас,20.30141830444336,11.237373352050781,-1.3553085327148438,-0.1799907684326172,BRAKES
XIAP,панкреас,23.056365966796875,22.156402587890625,1.7690200805664062,0.2901344299316406,BRAKES
CASP3,панкреас,-7.16473388671875,3.7865371704101562,7.382335662841797,0.2176055908203125,Apoptosis executioners
CASP6,панкреас,0.0,2.6676368713378906,8.404525756835938,-0.016117095947265625,Apoptosis executioners
CASP7,панкреас,6.2567138671875,5.605258941650391,9.159416198730469,0.07253265380859375,Apoptosis executioners
APAF1,панкреас,0.0,2.632711410522461,1.9516983032226562,-0.11014175415039062,Apoptosis initiators
BAK1,панкреас,-27.22303009033203,-5.3822784423828125,1.5164947509765625,0.1464080810546875,Apoptosis initiators
BAX,панкреас,-8.726890563964844,0.3546142578125,0.3344612121582031,-0.037609100341796875,Apoptosis initiators
CASP9,панкреас,-11.029178619384766,-7.826938629150391,7.260101318359375,-0.6306419372558594,Apoptosis initiators
CYCS,панкреас,-1.4842529296875,1.4278450012207031,1.3620262145996094,-0.0510406494140625,Apoptosis initiators
DIABLO,панкреас,-51.355308532714844,-24.598377227783203,4.134433746337891,-0.0537261962890625,Apoptosis initiators
MLKL,панкреас,-11.992263793945312,-3.2788028717041016,-6.460216522216797,-0.088653564453125,Necroptosis executioners
PGAM5,панкреас,-12.95400619506836,-18.336288452148438,1.1766548156738281,-0.22700119018554688,Necroptosis executioners
RIPK1,панкреас,10.076831817626953,-0.024175643920898438,3.094778060913086,0.08462333679199219,Necroptosis initiators
RIPK3,панкреас,-15.609554290771484,5.755695343017578,1.7972259521484375,0.15447044372558594,Necroptosis initiators
ZBP1,панкреас,-6.450139999389648,14.455726623535156,1.6548452377319336,0.3747587203979492,Necroptosis initiators
GSDMB,панкреас,-17.91183090209961,18.536426544189453,24.45599937438965,-0.5614643096923828,Pyroptosis executioners
GSDMD,панкреас,-3.582366943359375,4.977970123291016,-3.153881072998047,-0.08193588256835938,Pyroptosis executioners
